x_m y_m z_m T_K G_Kpm V_mps dTdt_Kps
4.000000e-03 -2.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.000000e-03 -1.000000e-03 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.000000e-03 -5.000000e-04 1.123002e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -1.000000e-03 0.000000e+00 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -5.000000e-04 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -5.000000e-04 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -5.000000e-04 -1.000000e-03 1.123002e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -5.000000e-04 -5.000000e-04 1.123010e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -5.000000e-04 0.000000e+00 1.123016e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -4.336809e-18 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -4.336809e-18 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -4.336809e-18 -1.000000e-03 1.123003e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -4.336809e-18 -5.000000e-04 1.123016e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 -4.336809e-18 0.000000e+00 1.123027e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-04 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-04 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-04 -1.000000e-03 1.123002e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-04 -5.000000e-04 1.123010e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-04 0.000000e+00 1.123016e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.000000e-03 -1.000000e-03 1.123001e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.000000e-03 -5.000000e-04 1.123002e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.000000e-03 0.000000e+00 1.123004e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 1.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 2.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 3.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 4.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-03 5.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -3.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -2.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -1.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-04 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-04 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-04 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-04 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -5.000000e-04 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.336809e-18 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.336809e-18 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.336809e-18 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.336809e-18 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 -4.336809e-18 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-04 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-04 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-04 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-04 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-04 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 1.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 2.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 3.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 4.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
4.500000e-03 5.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -3.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -2.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.500000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.500000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.500000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -1.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-04 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-04 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-04 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-04 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -5.000000e-04 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.336809e-18 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.336809e-18 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.336809e-18 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.336809e-18 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 -4.336809e-18 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 5.000000e-04 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 5.000000e-04 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 5.000000e-04 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 5.000000e-04 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 5.000000e-04 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.000000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.000000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.000000e-03 -1.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.000000e-03 -5.000000e-04 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.000000e-03 0.000000e+00 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.500000e-03 -2.000000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-03 1.500000e-03 -1.500000e-03 1.123000e+03 0.000000e+00 0.000000e+00 0.000000e+00
